,Market 2 Price [£/MWh]
1/1/18 0:00,51.89
1/1/18 1:00,55.49
1/1/18 2:00,51.06
1/1/18 3:00,44.76
1/1/18 4:00,40.07
1/1/18 5:00,44.42
1/1/18 6:00,50.295
1/1/18 7:00,52.145
1/1/18 8:00,48.33
1/1/18 9:00,44.595
1/1/18 10:00,44.37
1/1/18 11:00,55.65
1/1/18 12:00,58.15
1/1/18 13:00,56.145
1/1/18 14:00,55.825
1/1/18 15:00,69.53
1/1/18 16:00,73.215
1/1/18 17:00,71.47
1/1/18 18:00,63.445
1/1/18 19:00,53.81
1/1/18 20:00,57.775
1/1/18 21:00,52.83
1/1/18 22:00,52.26
1/1/18 23:00,44.18
1/2/18 0:00,45.365
1/2/18 1:00,42.74
1/2/18 2:00,42.92
1/2/18 3:00,46.91
1/2/18 4:00,44.71
1/2/18 5:00,60.505
1/2/18 6:00,56.175
1/2/18 7:00,47.73
1/2/18 8:00,53.42
1/2/18 9:00,48.985
1/2/18 10:00,50.355
1/2/18 11:00,49.98
1/2/18 12:00,48.205
1/2/18 13:00,46.725
1/2/18 14:00,44.395
1/2/18 15:00,62.15
1/2/18 16:00,65.17
1/2/18 17:00,85.9
1/2/18 18:00,79.18
1/2/18 19:00,65.785
1/2/18 20:00,59.045
1/2/18 21:00,50.485
1/2/18 22:00,52.12
1/2/18 23:00,49.935
1/3/18 0:00,51.255
1/3/18 1:00,53.595
1/3/18 2:00,51.29
1/3/18 3:00,52.635
1/3/18 4:00,48.115
1/3/18 5:00,49.785
1/3/18 6:00,54.98
1/3/18 7:00,57.63
1/3/18 8:00,44.735
1/3/18 9:00,40.24
1/3/18 10:00,41.53
1/3/18 11:00,42.665
1/3/18 12:00,42.47
1/3/18 13:00,43.01
1/3/18 14:00,44.925
1/3/18 15:00,58.715
1/3/18 16:00,66.855
1/3/18 17:00,78.32
1/3/18 18:00,74.19
1/3/18 19:00,59.135
1/3/18 20:00,53.84
1/3/18 21:00,50.285
1/3/18 22:00,47.24
1/3/18 23:00,45.19
1/4/18 0:00,43.77
1/4/18 1:00,46.18
1/4/18 2:00,44.305
1/4/18 3:00,48.955
1/4/18 4:00,43.4
1/4/18 5:00,48.485
1/4/18 6:00,53.13
1/4/18 7:00,49.15
1/4/18 8:00,40.8
1/4/18 9:00,43.345
1/4/18 10:00,41.135
1/4/18 11:00,40.59
1/4/18 12:00,43.16
1/4/18 13:00,41.85
1/4/18 14:00,43.105
1/4/18 15:00,51.43
1/4/18 16:00,63.585
1/4/18 17:00,76.97
1/4/18 18:00,72.85
1/4/18 19:00,61.035
1/4/18 20:00,57.935
1/4/18 21:00,52.825
1/4/18 22:00,50.03
1/4/18 23:00,45.725
1/5/18 0:00,56.23
1/5/18 1:00,51.56
1/5/18 2:00,53.04
1/5/18 3:00,50.02
1/5/18 4:00,48.255
1/5/18 5:00,52.48
1/5/18 6:00,53.55
1/5/18 7:00,47.855
1/5/18 8:00,44.605
1/5/18 9:00,47.84
1/5/18 10:00,48.785
1/5/18 11:00,45.61
1/5/18 12:00,45.75
1/5/18 13:00,49.61
1/5/18 14:00,49.87
1/5/18 15:00,68.235
1/5/18 16:00,87.035
1/5/18 17:00,109.25
1/5/18 18:00,95.035
